Part,Reference,Measurement
1,1.49,1.49
2,1.59,1.59
3,1.69,1.69
4,1.79,1.8
5,1.49,1.5
6,1.59,1.6
7,1.69,1.7
8,1.79,1.78
9,1.49,1.5
10,1.59,1.59
11,1.69,1.71
12,1.79,1.81
1,1.49,1.5
2,1.59,1.6
3,1.69,1.71
4,1.79,1.79
5,1.49,1.51
6,1.59,1.59
7,1.69,1.68
8,1.79,1.78
9,1.49,1.48
10,1.59,1.59
11,1.69,1.69
12,1.79,1.8
